lon,lat,source
-172.21,-13.72,record
120.55,22.55,record
98.2,17.3,record
-90.02,29.97,record
120.18,22.97,record
-178.8,-18.22,record
168.16,-16.25,record
178.81,-17.69,record
-67.04,10.34,record
101.62,3.08,record
-171.73,-13.91,record
71.15,34.1,record
-81.32,29.9,record
100.56,13.87,record
120.22,23.01,record
-60.44,-26.79,record
120.39,22.51,record
120.19,22.99,record
120.55,22.5,record
101.28,13.63,record
120.18,22.97,record
-81.4,30.29,record
120.3,22.63,record
-83.51,22.52,record
77.02,28.99,record
100.79,13.74,record
120.31,22.62,record
120.55,22.49,record
160.15,-9.58,record
101.3,13.62,record
120.2,22.98,record
120.32,22.64,record
79.83,11.95,record
-82.11,29.95,record
-81.28,28.79,record
101.3,13.65,record
-81.65,29.65,record
-49.38,-20.81,record
120.3,22.8,record
-81.03,29.21,record
-81.31,29.03,record
-49.38,-20.81,record
-78.97,26.68,record
-97.14,31.55,record
-80.09,26.35,record
101.29,13.64,record
-82.46,29.06,record
101.29,13.64,record
120.2,23,record
-78.85,26.58,record
-58.99,-27.46,record
-81.77,28.55,record
101.3,13.65,record
9.19,4.02,record
-60.05,-26.93,record
-80.25,27.19,record
77.58,12.96,record
76.98,11.03,record
-80.49,25.48,record
-80.22,25.83,record
12.53,3.9,record
120.2,23,record
10.15,5.96,record
14.55,5.89,record
-78.82,26.55,record
13.58,7.33,record
77.58,12.96,record
81.79,17.01,record
13.51,9.4,record
-82.14,29.19,record
9.37,4.07,record
101.29,13.63,record
14.36,4.43,record
76.99,11.05,record
-78.16,26.71,record
-81.69,30,record
79.83,11.92,record
-81.35,28.59,record
12.62,6.47,record
98.57,16.75,record
9.57,4.5,record
92.73,11.67,record
10.41,5.49,record
11.49,6.09,record
73.85,18.53,record
-81.88,28.81,record
11.15,2.92,record
76.92,8.48,record
92.73,11.67,record
92.75,11.63,record
13.4,9.3,record
9.9,5.3,record
9.71,4.05,record
99.59,13.62,record
-78.78,26.53,record
11.5,3.52,record
92.76,11.67,record
76.95,11.1,record
92.75,11.64,record
13.68,4.58,record
80.29,13.1,record
92.73,11.65,record
83.22,17.72,record
146.79,-19.28,record
100.49,13.86,record
76.92,8.48,record
92.73,11.67,record
77.02,28.46,record
-82.36,29.67,record
75.69,18.24,record
-45.25,-22.84,record
101.28,13.65,record
92.75,11.65,record
111.83,2.29,record
83.29,17.7,record
76.4,10.15,record
92.73,11.67,record
