lon,lat,source
-40.58,-19.94,record
-91.15,30.46,record
-89.9,30.07,record
91.98,26.12,record
-87.56,37.98,record
-95.4,29.83,record
134.98,34.8,record
139.41,35.5,record
-90.75,37.98,record
80.6,7.26,record
-95.4,29.83,record
130.3,33.25,record
102.86,5.06,record
-95.4,29.83,record
110.35,1.55,record
57.7,-20.41,record
-40.58,-19.94,record
103.07,5.42,record
-86.16,39.77,record
101.61,3.21,record
-87.56,37.98,record
-87.57,37.98,record
-44.69,-22.58,record
110.56,1.17,record
130.37,33.43,record
103.15,5.32,record
100.3,5.36,record
-157.78,21.35,record
103,5.36,record
113.27,23.11,record
129.88,32.75,record
139.4,35.45,record
129.88,32.75,record
57.45,-20.26,record
100.44,5.41,record
80.6,7.26,record
-87.57,37.98,record
112.58,33.03,record
108.21,16.06,record
-98.1,30,record
57.57,-20.1,record
112.58,33.03,record
127.7,26.2,record
76.79,11.35,record
-51.21,-23.32,record
57.43,-20.4,record
106.83,10.87,record
-97.15,29.28,record
100.28,5.33,record
113.36,23.21,record
100.26,5.3,record
57.47,-20.28,record
73.85,18.53,record
-157.8,21.34,record
-98.11,29.7,record
-98.73,29.79,record
100.42,5.44,record
100.29,5.31,record
100.24,5.35,record
-98.47,29.34,record
100.31,5.36,record
100.3,5.36,record
57.42,-20.32,record
100.28,5.33,record
-157.76,21.39,record
57.4,-20.33,record
107.43,25.33,record
-98.41,30.28,record
100.3,5.34,record
-98.87,30.27,record
-99.14,30.05,record
-98.42,29.4,record
-100.9,29.36,record
-97.65,29.68,record
-97.54,26.02,record
100.22,5.44,record
-97.9,28.88,record
-99.62,28.96,record
-82.34,29.66,record
-98.47,29.46,record
-98.36,29.39,record
99.99,9.46,record
-98.4,29.56,record
-99.79,29.21,record
-96.91,29.68,record
-98.55,29.46,record
-90.21,38.63,record
100.22,5.4,record
-99.25,29.8,record
-96.65,28.98,record
-97.97,29.57,record
-99.86,28.52,record
-100.41,29.31,record
-97.39,28.66,record
-97.86,27.52,record
-99.23,28.44,record
-98.45,29.33,record
-98.64,29.54,record
-97.3,29.7,record
-98.16,26.3,record
-98.68,27.31,record
-96.99,28.81,record
-98.07,27.74,record
-98.13,28.33,record
-97.27,28.3,record
-100.63,28.95,record
-97.5,28.03,record
-97.5,28.98,record
5.63,6.34,record
-97.75,28.4,record
-98.86,29.19,record
-97.63,26.13,record
-78.65,35.79,record
-98.16,29.13,record
9.19,4.02,record
80.02,9.67,record
79.15,12.82,record
-99.1,28.88,record
-78.65,35.79,record
101.62,3.08,record
71.06,33.53,record
-77.2,39.14,record
-98.48,28.96,record
-81.65,30.37,record
79.33,12.25,record
71.54,33.69,record
120.47,22.66,record
-40.35,-20.32,record
-79.78,34.93,record
99.95,9.54,record
9.57,4.5,record
-98.15,27.22,record
10.15,5.96,record
13.68,4.58,record
127.73,26.26,record
-90.05,30,record
130.32,33.37,record
6.38,6.3,record
9.71,4.05,record
130.2,33.25,record
110.34,1.55,record
9.9,5.3,record
10.41,5.49,record
11.49,6.09,record
-101.52,27.88,record
9.23,4.16,record
88.31,22.59,record
9.37,4.07,record
14.36,4.43,record
14.55,5.89,record
11.98,2.93,record
101.29,13.64,record
12.62,6.47,record
111.83,2.29,record
111.83,2.29,record
111.83,2.29,record
-97.5,25.91,record
111.83,2.29,record
11.5,3.52,record
101.9,15.08,record
-45.25,-22.84,record
-83.32,35.49,record
120.99,14.49,record
73.85,18.53,record
6.35,6.12,record
12.53,3.9,record
76.92,8.48,record
84.81,22.23,record
11.15,2.92,record
-76.92,38.92,record
10.05,5.45,record
75.69,18.24,record
-83.3,35.51,record
-98.32,26.22,record
-97.51,25.87,record
-78.65,35.79,record
141.3,-6.12,record
119.94,-5.51,record
73.85,18.53,record
-98.23,26.21,record
-92.27,14.9,record
119.34,-3.42,record
-97.98,26.15,record
80.27,13.08,record
-82.83,34.69,record
79.78,12.77,record
100.37,5.56,record
-43.4,-22.75,record
79.33,12.9,record
-98.29,26.08,record
88.35,22.57,record
-82.76,22.99,record
-83.25,35.82,record
79.11,13.21,record
79.14,12.92,record
-100.03,25.27,record
98.58,16.75,record
-100.02,25.28,record
-100.04,25.3,record
-80.08,26.46,record
-90.04,35.14,record
100.46,6.99,record
79.33,12.93,record
-60.02,-3.12,record
55.65,-20.95,record
79.14,12.92,record
-100,25.27,record
100.05,7.5,record
55.3,-20.99,record
-83.8,35.62,record
78.14,9.92,record
78.13,9.93,record
-100.01,25.26,record
106.68,10.78,record
55.34,-20.92,record
-100,25.26,record
55.42,-21.28,record
55.48,-21.22,record
55.27,-21,record
55.45,-20.88,record
-100,25.26,record
55.3,-20.93,record
123.89,10.3,record
-100,25.27,record
-43.42,-22.8,record
55.52,-21.27,record
-100.87,26.12,record
55.58,-21.35,record
55.55,-20.89,record
-100.33,25.82,record
-81.37,28.62,record
73.85,18.52,record
-83.38,34.73,record
-83.38,34.73,record
-100.19,25.78,record
-100.13,25.4,record
-81.34,29.9,record
-99.68,25.26,record
78.13,9.93,record
-99.56,24.86,record
-99.84,25.18,record
78.12,9.91,record
78.05,9.88,record
-100.18,26.5,record
78.12,9.91,record
55.3,-21.16,record
-80.49,25.48,record
-100,25.59,record
-81.34,29.9,record
88.35,22.57,record
-81.66,29.64,record
-80.27,25.68,record
-88.55,15.72,record
-88.61,15.68,record
-88.57,15.72,record
-90.16,38.69,record
-88.59,15.73,record
-88.61,15.69,record
-88.62,15.69,record
-88.57,15.71,record
-82.34,29.66,record
-83.61,33.66,record
-88.68,15.73,record
-81.21,35.01,record
-81.51,26.74,record
-100.04,25.29,record
-88.64,15.72,record
-88.58,15.68,record
-88.63,15.68,record
-81.19,29.59,record
55.45,-20.88,record
55.34,-20.92,record
-100.04,25.3,record
-93.56,32.5,record
-97.43,32.77,record
99.2,18.92,record
-98.58,29.38,record
103.86,13.37,record
-98.62,29.39,record
99,18.79,record
-77.04,3.88,record
-86.36,32.38,record
-89.93,38.4,record
127.87,1.32,record
-48.45,-22.88,record
-92.13,34.91,record
-98.5,29.43,record
-88.58,15.7,record
99,18.79,record
-89.85,38.54,record
-98.5,29.43,record
-98.48,29.47,record
-98.58,29.38,record
-98.44,29.35,record
-97.39,35.42,record
-81.45,27.59,record
-86.06,35.37,record
-98.62,29.39,record
-88.45,33.63,record
-92.53,31.32,record
-98.28,29.53,record
-86.06,35.37,record
-100.42,31.43,record
-92.53,31.32,record
-98.48,29.47,record
-98.44,29.35,record
-88.45,33.63,record
-86.25,32.4,record
